v1,v2_1,v2_2,v2_3,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v6_5,v6_6,v6_7,v6_8,v6_9,v7,v8,v9_1,v9_2,v9_3,v9_4,v9_5,v9_6,v10,v11,v12,v13,v14_1,v14_2,v14_3,v14_4,v14_5,v15_1,v15_2,v16,v17_1,v17_2,v17_3,v17_4,v17_5,v17_6,v17_7,v18,v19,v20,v21_1,v21_2,v21_3,v21_4,v22,v23,v24,v25,v26_1,v26_2,v26_3,v27_1,v27_2,v27_3,v27_4,v27_5,v27_6,v28_1,v28_2,v28_3,v29_1,v29_2,v29_3,v29_4,v29_5,v29_6,v29_7,v29_8,v29_9,v29_10,v29_11,v30_1,v30_2,v30_3,v30_4,v30_5,v30_6,v30_7,v30_8,v30_9,v30_10,v30_11,v30_12,v31_1,v31_2,v31_3,v31_4,v32_1,v32_2,v32_3,v32_4,v33,v34,v35,v36_1,v36_2,v36_3,v36_4,v37,v38,v39_1,v39_2,v39_3,v40,v41_1,v41_2,v41_3,v41_4,v41_5,v41_6,v42_1,v42_2,v42_3,v43_1,v43_2,v43_3,v43_4,v44_1,v44_2,v45,v46_1,v46_2,v46_3,v46_4,v47_1,v47_2,v48_1,v48_2,v48_3,v48_4,v49_1,v49_2,v49_3,v49_4,v49_5,v49_6,v50,v51,v52_1,v52_2,v52_3,v53,v54,v55_1,v55_2,v55_3_1,v55_3_2,v55_4,v55_5,v55_6,v55_7,v56_1,v56_2,v56_3_1,v56_3_2,v56_4,v56_5,v56_6,v56_7,v57,v58_1,v58_2,v58_3_1,v58_3_2,v58_4,v59_1,v59_2,v59_3,v59_4,v59_5,v59_6,v59_7,v59_8,v59_9,v60,v61,v62,v63,v64_1,v64_2,v64_3,v65_1,v65_2,v65_3,v65_4,v65_5,v65_6,v65_7,v65_8,v65_9,v65_10,v65_11,v65_12,v65_13,v66_1,v66_2,v66_3,v67_1,v67_2,v67_3,v67_4,v67_5,v67_6,v68,v69_1,v69_2,v70,v71家長１,v71家長２,v72,v73,v74,v75
1,0,1,0,1,1,2,4,4,4,5,4,4,6,4,6,3,1,1,0,0,0,0,0,3,1,2,1,5,4,5,6,5,5,5,3,0,0,0,0,0,1,0,2,3,3,4,5,5,5,3,1,3,2,4,3,5,5,4,3,4,4,3,3,2,4,4,5,4,5,5,5,5,5,5,4,5,5,4,5,3,4,5,3,4,5,4,3,4,3,3,3,2,5,5,2,5,0,5,4,,,,,3,3,1,1,0,0,3,3,4,3,2,3,4,3,5,5,5,4,4,6,5,0,4,4,4,5,5,3,2,3,3,3,2,2,4,3,4,2,3,3,4,5,4,5,3,7,7,4,3,3,1,3,8,2,2,4,3,2,1,3,8,6,0,0,0,1,1,1,0,1,1,0,1,1,1,2,1,4,3,5,4,4,5,0,0,0,1,0,1,1,1,1,0,1,1,1,3,4,4,1,1,1,1,1,0,3,2,3,2,2,2,3,7,2,0
7,1,0,0,1,1,2,5,5,6,6,6,5,6,6,6,3,1,1,0,0,0,0,0,4,1,1,2,5,3,6,5,5,6,3,1,0,0,1,0,0,0,0,4,5,3,6,6,6,5,4,4,2,2,5,4,5,5,6,6,5,6,5,1,1,1,4,6,4,6,5,6,6,6,6,6,5,6,2,2,5,1,5,1,6,5,1,5,4,4,3,3,4,6,6,1,6,1,5,4,4,,3,6,3,3,1,1,0,0,6,4,6,4,3,5,4,5,6,4,4,4,4,6,3,1,6,5,6,4,3,3,3,1,2,4,1,2,4,3,2,2,1,3,4,6,5,4,3,5,1,8,2,1,1,1,9,1,1,3,2,1,1,5,1,5,1,-2,1,-1,1,1,1,0,0,0,-1,1,1,2,2,1,2,1,5,5,5,1,1,0,0,0,1,1,1,1,0,1,0,1,5,4,4,1,1,0,0,0,1,3,1,3,3,5,2,3,7,1,1
12,1,0,0,3,1,1,2,1,2,2,2,1,1,4,5,3,1,1,0,0,0,0,0,6,1,1,1,3,3,4,3,4,5,3,3,0,1,0,0,0,0,0,2,2,3,5,3,4,3,5,1,2,4,4,4,5,5,5,4,5,5,5,2,2,2,5,5,4,5,4,3,5,5,5,4,5,4,4,6,3,3,3,6,3,5,3,4,3,3,3,2,1,5,5,3,5,0,5,4,,,,,3,1,1,0,0,0,5,,5,5,,,3,3,6,2,3,4,2,6,3,1,6,5,6,3,4,3,5,2,5,1,3,5,5,5,2,5,3,2,4,4,4,3,1,7,1,1,1,3,6,1,6,4,1,1,1,1,4,1,5,1,-2,-2,-2,-2,-2,0,0,-1,0,-1,1,0,1,1,1,4,7,1,3,3,3,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,2,3,3,2,2,2,8,2,1
4,1,0,0,1,1,2,3,3,3,2,1,1,2,3,1,3,1,1,0,0,0,0,0,4,1,2,1,3,3,4,4,4,5,5,3,0,0,1,0,0,0,0,1,5,3,3,4,2,3,5,4,2,4,3,3,5,4,4,3,3,3,3,4,4,4,4,4,3,5,3,3,3,3,3,3,4,5,1,2,4,1,1,1,1,1,1,1,1,2,4,1,1,6,6,1,6,0,4,4,,,,,3,3,1,1,0,0,5,5,4,4,5,6,3,3,6,5,5,2,4,6,6,0,1,1,1,1,3,3,4,4,4,4,4,2,4,4,4,4,3,4,3,3,4,1,3,6,2,3,3,3,1,2,6,1,2,3,2,2,3,2,1,4,1,1,0,0,1,1,0,2,1,1,1,1,0,2,2,1,2,1,5,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1,1,0,0,0,0,3,1,3,3,4,4,3,1,1,1
11,1,0,0,4,1,1,3,4,3,4,5,5,3,4,6,3,1,1,0,0,0,0,0,1,1,2,1,5,3,6,4,3,5,3,1,1,0,0,0,0,0,0,8,3,4,5,5,2,3,4,6,4,4,4,5,5,4,4,4,4,4,3,2,2,2,4,4,3,5,5,5,5,5,5,5,4,5,5,6,4,4,5,5,5,5,5,5,5,3,3,3,3,6,6,2,2,1,5,4,,,,,3,3,1,0,0,0,5,5,4,4,1,6,4,3,6,1,4,5,4,6,6,0,5,4,2,2,,,1,4,4,3,2,5,3,5,5,2,4,2,4,5,4,2,2,7,1,1,1,2,2,3,7,5,1,1,1,1,1,4,1,1,1,-1,-2,-2,0,1,1,1,2,1,1,0,0,1,1,2,6,1,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,0,0,1,0,0,2,1,3,3,2,6,3,5,1,1
11,1,0,0,1,2,1,5,5,5,4,6,5,6,6,6,3,1,1,0,0,0,0,0,3,1,1,1,5,5,6,5,6,6,4,3,1,0,0,0,0,0,0,3,4,4,5,4,5,6,4,6,2,4,6,6,6,6,6,4,5,5,6,1,1,1,4,5,4,5,5,5,5,4,6,5,4,4,4,4,5,4,4,1,1,1,1,1,1,2,3,3,3,4,5,1,4,0,5,4,,,,,3,3,1,1,0,0,5,5,6,5,5,6,4,3,5,5,5,5,4,5,4,0,6,6,5,5,5,5,5,2,2,5,2,5,3,5,2,1,3,2,5,4,5,2,3,6,1,6,2,1,1,4,8,1,1,3,2,1,1,2,1,6,1,0,1,1,-2,1,1,0,2,2,0,0,2,2,1,2,2,7,4,4,5,0,0,0,1,1,1,1,1,1,0,1,1,1,4,4,4,1,1,1,1,0,1,3,3,3,3,1,8,2,10,1,1
5,1,0,0,2,1,1,4,5,3,5,4,5,5,3,6,2,1,1,0,0,0,0,0,3,2,1,1,4,5,6,6,5,5,4,5,1,0,0,0,0,0,0,3,4,4,5,4,6,4,3,6,2,4,4,5,6,4,6,5,6,6,5,3,4,5,4,5,4,5,5,5,6,5,6,6,3,3,2,2,2,3,3,5,5,3,1,3,3,3,3,4,2,5,5,1,4,0,4,4,5,1,5,5,2,2,1,1,0,0,5,5,6,4,5,4,6,3,6,5,3,3,5,6,6,1,4,4,2,2,5,3,2,4,2,2,2,3,2,3,2,1,4,2,5,5,5,3,3,6,3,4,3,3,5,7,9,1,1,3,2,1,1,5,1,2,0,-1,2,0,-2,1,-1,0,1,0,1,2,2,2,2,2,4,1,3,4,4,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,4,1,0,0,0,0,0,3,1,3,3,2,2,3,10,1,1
5,1,0,0,2,2,2,4,4,3,4,3,4,3,3,3,2,1,1,0,0,0,0,0,2,1,1,1,3,5,5,5,4,5,5,4,0,1,0,0,0,0,0,1,5,4,5,4,5,5,4,5,2,4,5,5,5,5,5,5,3,5,5,1,1,1,4,5,6,5,5,5,5,6,5,6,6,6,5,5,5,5,6,6,6,6,5,5,5,4,4,4,3,5,5,4,3,1,5,4,5,5,5,6,2,6,1,1,0,0,4,4,4,5,4,4,4,3,6,3,3,3,3,6,6,1,6,6,5,5,5,5,5,5,4,4,1,2,2,2,2,2,4,2,4,4,4,3,2,4,3,3,3,4,6,6,6,3,4,3,3,3,4,4,3,4,2,1,1,1,0,1,1,0,0,1,-1,1,2,0,2,2,4,1,6,5,5,0,0,0,1,1,0,1,1,0,0,0,1,0,5,4,5,1,0,1,1,1,0,3,1,1,2,2,6,3,9,1,1
11,1,0,0,1,1,3,4,5,5,5,5,5,2,4,5,2,1,1,0,0,0,0,0,2,1,1,1,5,4,6,6,5,6,3,3,1,0,0,0,0,0,0,8,4,3,6,6,2,5,3,4,3,4,5,5,5,5,6,5,6,5,5,1,1,1,4,5,3,4,5,5,5,5,5,5,5,4,4,5,5,2,3,2,5,2,2,2,2,3,3,3,3,6,4,3,2,0,4,4,5,2,3,3,4,5,1,1,0,0,5,4,5,5,5,5,4,3,5,5,5,3,5,6,6,0,5,5,4,4,4,4,2,1,2,3,2,4,4,3,3,2,3,3,4,4,5,3,3,8,3,2,2,2,4,2,7,1,2,3,3,3,3,2,5,3,0,0,1,1,0,1,-1,2,1,0,1,0,1,2,1,4,7,1,4,3,5,0,0,0,1,1,1,1,1,1,0,1,0,1,4,4,4,1,0,1,1,0,0,2,1,4,3,2,2,4,7,1,1
18,1,0,0,1,1,3,4,4,4,4,5,5,5,5,4,2,1,1,0,0,0,0,0,2,1,2,1,5,5,5,5,3,4,4,5,1,0,0,0,0,0,0,1,4,2,4,4,5,5,5,4,2,4,5,5,6,6,6,5,6,6,6,1,1,1,4,4,3,3,5,5,5,5,6,6,5,4,4,4,4,3,4,2,3,2,2,2,2,3,3,3,3,4,4,1,2,0,5,4,4,3,3,4,3,3,1,1,0,0,5,4,5,3,4,4,6,5,6,4,4,5,5,5,4,1,6,6,6,6,4,4,2,3,3,2,1,3,4,3,3,2,3,2,4,4,4,3,3,7,3,3,1,2,1,2,9,1,1,4,3,2,1,4,5,3,1,0,1,1,-1,-1,0,0,2,-1,-2,0,0,1,1,1,7,3,5,3,4,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,3,1,3,3,2,2,4,2,1,1
3,1,0,0,3,1,1,5,5,5,4,5,5,3,4,4,2,1,1,0,0,0,0,0,1,1,1,1,5,5,5,4,5,5,3,5,1,0,0,0,0,0,0,2,4,4,4,5,6,5,4,5,2,4,5,5,5,4,5,5,5,5,5,1,1,1,3,4,2,5,3,3,2,2,4,3,4,5,3,4,5,2,3,1,2,4,1,3,1,3,4,2,3,4,4,1,4,0,5,4,4,,,,4,5,1,1,0,0,5,5,6,6,5,4,2,1,6,3,2,4,2,5,4,0,5,4,5,3,,,3,2,2,4,2,4,5,5,2,2,3,2,4,5,3,3,3,5,6,4,3,2,2,9,7,3,2,3,2,2,2,4,4,3,1,1,0,1,0,1,1,0,2,0,0,1,-1,2,2,2,2,1,4,3,3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,4,1,1,0,0,1,0,0,3,1,4,3,1,2,4,7,2,0
2,1,0,0,1,1,2,3,3,4,3,5,2,3,4,6,2,1,1,0,0,0,0,0,2,2,1,1,5,4,6,5,5,6,5,3,1,0,0,0,0,0,0,4,5,3,5,6,6,5,3,3,3,3,3,6,6,6,6,6,6,6,5,1,2,1,5,5,6,6,6,4,6,6,6,6,6,6,6,5,6,5,3,1,5,2,1,5,5,3,4,3,4,6,6,1,6,1,5,4,,,,,2,2,1,1,0,0,6,6,6,6,3,5,3,5,6,4,5,5,5,6,6,0,6,6,5,3,5,5,4,4,3,4,1,3,2,6,4,3,3,1,4,3,2,2,3,7,2,3,1,2,1,2,7,9,5,4,1,3,1,4,9,6,1,1,2,1,1,2,2,1,2,0,1,1,1,0,1,1,2,1,5,6,5,1,1,0,0,0,1,1,0,1,0,1,1,1,5,4,5,0,0,1,1,0,1,3,1,4,3,4,4,3,9,1,1
1,1,0,0,1,1,1,5,4,4,4,4,3,5,4,6,2,1,1,0,0,0,0,0,2,1,1,1,4,4,6,5,5,4,4,5,1,0,0,0,0,0,0,4,4,4,5,5,5,6,5,1,3,4,5,5,5,5,5,5,5,5,6,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,3,2,4,5,1,4,1,3,4,3,4,5,5,1,5,1,5,4,,,,,3,3,1,1,0,0,5,5,5,5,4,6,4,2,6,4,4,5,4,6,5,0,5,5,5,5,4,4,3,2,4,4,3,4,4,4,2,2,3,2,5,5,5,5,3,7,4,4,4,3,2,3,8,2,4,3,3,2,2,4,5,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,2,5,1,4,4,4,1,0,0,0,1,1,1,1,0,0,1,0,1,4,4,4,1,1,1,1,0,0,2,1,3,2,6,6,3,12,1,1
1,1,0,0,4,1,1,4,4,5,3,4,3,6,4,6,2,1,1,0,0,0,0,0,3,1,1,1,4,4,6,4,5,4,4,3,1,0,0,0,0,0,0,4,4,3,6,5,4,6,4,4,3,2,5,5,6,6,5,4,6,6,6,2,2,1,4,6,5,5,5,6,6,5,6,6,6,5,6,4,5,5,5,3,5,3,2,5,3,3,3,4,3,6,6,2,3,0,5,4,,,,,4,5,0,0,0,0,,,,,,,1,1,6,4,5,5,5,6,6,0,4,3,5,4,3,,2,3,3,4,1,3,5,4,3,1,2,1,3,4,4,2,3,8,1,3,1,1,1,3,8,1,1,2,2,4,1,7,1,1,1,-1,0,-1,0,0,2,-1,-1,2,1,2,0,2,2,1,2,1,4,3,3,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,3,3,8,8,3,12,1,1
3,1,0,0,1,1,1,4,3,3,4,3,4,5,5,6,2,1,1,0,0,0,0,0,4,2,1,1,4,4,6,5,4,5,3,3,1,0,1,0,0,0,0,1,3,3,5,5,3,4,5,2,2,4,6,6,6,6,6,6,6,6,6,1,1,1,5,6,3,6,5,6,6,6,6,6,6,4,2,6,3,1,1,6,1,6,1,3,1,2,3,4,3,4,4,1,4,0,5,4,4,4,4,4,4,4,1,1,0,0,5,5,6,6,5,4,4,1,6,4,5,3,4,6,6,0,6,6,6,6,5,5,3,3,3,4,2,3,1,4,4,4,2,3,6,4,6,4,3,7,2,1,1,1,3,3,8,1,2,1,1,1,1,4,1,2,2,1,-1,-1,-2,0,-1,-1,1,0,2,2,2,2,1,1,7,3,6,6,6,0,0,0,0,1,0,1,1,0,0,0,0,0,5,5,5,1,1,1,1,0,0,3,1,4,3,2,5,3,12,2,0
4,1,0,0,3,1,1,5,5,2,5,3,5,5,5,6,2,1,1,0,0,0,0,0,3,1,1,1,6,6,6,5,5,6,4,5,1,0,0,0,0,0,0,3,5,5,6,6,2,6,4,4,4,3,6,2,6,6,6,6,6,6,3,1,1,1,6,6,6,6,5,5,5,6,6,1,6,6,6,6,1,1,1,1,1,1,1,6,1,4,4,4,4,6,6,1,6,1,5,4,,,,,3,4,1,1,0,0,6,6,6,6,6,6,1,1,6,3,2,3,5,5,2,1,6,6,6,6,3,4,2,5,2,4,3,6,6,6,6,1,3,2,2,3,6,1,3,9,5,4,6,5,3,9,7,4,3,3,3,4,3,1,4,2,2,1,-1,2,2,1,1,2,-1,-1,-1,2,2,2,2,2,2,1,1,2,6,0,0,0,0,0,0,0,0,0,0,1,0,1,5,5,5,1,1,1,1,0,0,3,1,4,2,2,2,4,6,1,1
2,0,1,0,1,2,3,5,4,4,3,6,3,6,6,6,3,1,1,0,0,0,0,0,3,1,1,1,6,6,4,6,6,6,6,5,1,0,0,0,0,0,0,1,4,3,6,5,5,5,5,4,5,3,5,5,5,5,6,5,6,6,6,6,1,1,5,6,6,6,6,5,5,5,5,5,4,5,5,6,6,5,6,6,6,6,4,5,5,3,3,3,3,5,5,1,6,0,5,4,6,4,4,4,3,3,1,1,1,1,6,6,6,6,5,5,6,4,5,5,5,5,5,6,2,1,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,4,2,3,2,4,1,3,4,4,5,3,3,3,3,3,3,3,3,3,2,2,1,3,6,2,0,0,0,0,2,2,0,0,0,1,1,1,1,2,1,5,1,3,3,3,1,0,0,1,0,1,1,1,1,0,1,0,0,3,3,3,1,0,0,1,0,0,2,1,3,3,6,7,2,11,1,0
22,0,1,0,1,1,2,4,2,4,2,6,4,2,4,6,2,1,1,0,0,0,0,0,2,1,1,1,3,3,5,5,5,4,3,4,1,0,1,0,0,0,0,8,4,2,4,6,6,6,4,2,3,2,4,3,4,4,3,5,5,5,4,3,3,2,4,6,6,5,3,3,3,5,3,4,5,4,4,3,3,5,5,3,3,3,4,4,4,2,2,2,2,4,4,2,4,1,3,4,5,5,5,5,4,5,1,1,0,1,5,5,5,5,5,5,4,4,3,4,3,5,2,3,2,1,4,3,3,4,5,5,3,3,3,3,3,2,3,3,2,3,5,2,6,6,5,2,3,6,5,7,6,6,5,7,5,3,2,4,5,2,3,5,3,4,1,1,-1,-1,-1,1,1,1,2,2,2,2,2,2,2,4,7,1,3,2,4,1,0,0,0,0,1,1,1,1,1,1,0,1,4,4,4,0,1,0,0,0,0,1,2,2,2,5,5,4,2,1,0
18,1,0,0,1,1,2,4,5,5,6,5,5,5,6,6,2,1,1,0,0,0,0,0,2,2,2,1,5,5,6,4,4,6,3,5,1,0,0,0,0,0,0,1,4,3,4,4,6,5,5,2,2,4,6,6,6,6,6,4,6,6,6,1,1,1,6,5,4,5,6,6,6,5,6,6,5,5,4,4,5,3,3,3,5,5,3,5,4,3,3,2,3,5,6,1,4,1,5,4,,,,,4,4,1,1,0,0,4,,5,,,5,4,2,6,5,5,4,5,6,6,0,6,6,5,5,,,3,2,3,3,1,5,4,3,3,2,2,1,6,5,6,2,3,8,2,2,1,1,1,6,7,1,3,2,1,3,1,9,9,1,2,0,-1,-2,0,1,0,0,1,-2,0,1,1,2,3,1,7,1,5,4,5,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,1,3,2,5,5,4,1,2,1
1,1,0,0,2,1,1,5,5,5,5,4,4,4,4,5,2,1,1,0,0,0,0,0,3,2,2,1,4,4,4,5,5,4,4,3,1,0,0,0,0,0,0,1,3,4,5,4,4,5,4,3,3,2,5,5,5,5,6,5,6,6,5,1,1,2,5,5,4,5,5,6,5,5,6,6,5,5,3,5,5,4,4,4,5,3,2,4,4,3,3,3,3,5,5,2,5,1,5,4,,,,,3,3,1,1,0,0,4,5,5,5,4,5,3,2,4,5,5,3,5,6,6,0,5,5,5,5,4,4,4,3,2,4,1,4,2,4,3,3,3,2,5,3,3,3,4,1,1,3,4,1,1,1,9,1,1,3,3,1,1,1,1,6,1,1,2,1,0,1,1,2,1,0,0,1,2,2,1,4,2,1,5,5,5,1,0,0,1,1,1,1,1,0,0,1,0,1,4,4,4,1,1,1,1,0,0,3,3,3,2,5,5,4,7,2,1
12,1,0,0,1,1,1,4,4,5,4,5,5,6,6,6,2,1,1,0,0,0,0,0,4,1,2,1,5,3,6,6,5,5,3,5,1,0,0,0,0,0,0,8,4,2,4,4,2,4,3,1,3,3,5,5,6,6,5,5,4,4,4,2,1,1,4,4,4,5,5,4,4,5,6,6,4,2,3,4,4,2,3,3,5,3,2,5,3,3,3,2,3,5,6,1,4,1,5,4,,,,,2,2,1,0,0,1,4,4,5,5,3,6,6,4,6,5,1,5,5,6,5,1,4,4,2,2,3,3,5,1,2,3,2,2,3,4,4,3,2,1,5,6,6,3,3,7,1,6,1,1,1,2,8,1,1,3,1,1,1,2,5,4,0,-2,1,0,-2,1,-1,1,2,-1,1,1,2,2,1,1,2,1,4,4,5,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,3,1,4,3,5,2,4,3,1,1
23,0,1,0,1,1,1,6,4,6,4,6,3,6,5,6,2,1,1,0,0,0,0,0,5,2,2,1,5,3,3,6,6,5,6,5,1,1,0,0,0,0,0,4,3,3,6,6,6,6,4,4,4,1,5,6,6,6,6,6,6,6,6,3,2,1,6,6,6,6,6,6,6,6,6,6,6,6,1,4,1,1,1,6,6,5,1,4,6,4,4,4,4,6,5,6,6,0,5,4,3,3,3,3,4,4,1,1,0,0,6,6,6,6,6,6,1,1,2,4,5,5,5,6,4,1,3,5,6,4,4,5,3,1,4,2,1,5,5,3,3,1,2,1,6,6,4,3,2,3,3,5,6,6,7,4,9,3,4,2,5,5,1,2,9,2,0,0,1,2,1,1,2,0,0,2,1,0,0,1,2,1,2,1,6,3,6,0,1,1,0,1,0,1,0,1,1,1,0,0,3,3,3,0,1,1,0,0,0,1,1,2,2,8,2,4,1,1,0
29,1,0,0,1,1,1,5,5,6,6,5,5,4,5,6,2,1,1,0,0,0,0,0,1,1,1,1,5,5,6,6,5,6,3,5,1,0,0,0,0,0,0,4,3,4,4,4,4,5,5,1,3,4,4,5,6,6,6,4,6,5,6,2,2,2,6,6,4,5,5,4,6,6,6,6,6,4,3,3,3,2,4,2,3,5,2,3,2,2,3,2,2,6,3,2,4,0,5,4,6,3,5,5,2,6,1,1,0,0,6,6,6,6,6,6,3,2,4,5,5,5,5,6,5,0,6,6,6,6,5,4,5,1,1,4,1,2,2,2,1,2,2,1,4,4,4,4,3,7,3,3,2,2,1,2,8,2,2,2,2,4,3,4,9,2,2,0,0,1,-1,0,0,0,1,0,0,-1,1,2,1,2,7,1,4,4,6,0,0,0,1,1,1,1,1,1,0,1,0,1,4,4,4,0,1,1,1,0,1,3,1,3,2,3,2,4,6,1,1
23,1,0,0,1,1,1,5,4,6,5,6,5,4,5,5,2,1,1,0,0,0,0,0,1,1,1,1,5,4,5,4,4,5,3,5,1,0,0,0,0,0,0,1,4,3,5,4,3,4,4,4,2,2,5,6,6,6,6,6,6,5,5,1,1,1,6,6,4,6,6,5,6,5,5,6,5,6,4,4,4,4,4,5,5,3,1,2,1,3,4,3,2,6,6,1,5,1,5,4,,,,,4,4,1,1,0,0,6,6,6,6,2,3,4,4,4,5,5,4,5,6,6,0,5,5,4,4,4,3,3,3,2,4,1,5,5,5,3,3,1,1,5,4,6,2,4,7,3,3,4,1,1,2,7,1,1,1,5,3,1,3,8,3,2,1,0,0,1,2,0,1,2,-1,1,0,2,2,1,1,7,7,5,5,5,1,0,0,1,1,1,1,1,1,0,0,0,1,4,4,4,0,0,0,1,0,1,3,1,4,3,2,4,3,10,1,1
2,1,0,0,1,1,1,6,5,5,6,5,6,5,3,6,2,1,1,0,0,0,0,0,4,2,2,1,4,3,6,4,5,3,3,3,1,0,0,0,0,0,0,3,3,4,4,5,3,4,3,4,2,4,3,5,4,4,3,4,5,6,4,1,1,1,4,4,4,2,6,4,4,4,6,4,6,3,5,4,4,4,4,1,4,5,4,2,3,4,3,3,3,6,6,1,6,1,5,1,3,3,3,4,2,2,1,1,1,0,1,2,1,1,1,2,3,3,6,2,5,1,4,6,5,0,6,4,6,6,4,4,5,3,4,3,2,5,4,4,4,3,3,2,6,4,4,4,3,4,3,3,3,2,2,3,7,3,2,3,4,1,2,4,4,5,2,1,0,2,-2,0,2,-2,0,0,-1,2,-1,-1,1,1,4,7,3,4,6,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,4,2,4,8,2,0
14,1,0,0,3,1,1,4,4,4,3,4,3,4,4,6,2,1,1,0,0,0,0,0,3,1,1,1,4,4,4,4,5,4,3,5,0,0,1,0,0,0,0,8,3,1,3,3,3,4,5,1,2,4,3,3,4,4,4,4,5,5,4,2,2,2,4,5,4,5,4,3,4,3,5,3,4,3,3,4,4,4,4,4,3,4,3,4,3,3,3,2,2,6,4,3,3,1,5,4,,,,,3,3,1,1,0,0,4,4,5,5,1,5,3,1,5,5,5,5,3,6,6,0,5,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,1,3,5,4,3,3,2,1,4,3,3,3,3,3,2,1,4,5,5,0,0,1,0,0,0,-1,-1,1,1,1,2,2,1,3,2,7,6,3,2,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,4,1,1,1,0,0,0,2,2,3,2,2,2,4,1,2,1
12,1,0,0,4,2,1,5,4,4,4,6,5,3,5,6,2,3,0,1,0,0,0,1,3,1,2,1,4,3,6,3,4,5,1,5,0,0,1,0,0,0,0,4,3,4,4,5,5,3,3,5,2,4,3,3,3,6,6,5,5,4,3,1,2,2,5,4,1,4,5,3,4,4,4,3,4,4,2,1,4,1,1,5,4,6,1,4,1,3,3,3,3,5,4,1,5,1,5,4,5,4,3,4,3,4,1,0,0,0,6,5,6,5,5,6,4,4,6,5,5,5,4,6,6,0,3,4,3,3,3,3,2,4,4,2,1,2,3,3,4,4,4,2,5,5,4,2,2,6,2,1,2,2,1,2,7,1,2,3,2,1,1,3,9,1,0,0,0,0,0,0,-1,1,0,0,1,2,0,1,1,1,2,1,3,3,3,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,3,1,0,0,1,0,0,2,1,3,3,5,6,3,12,1,1
29,1,0,0,3,1,1,3,3,5,2,6,4,4,4,6,2,3,0,1,1,0,0,0,2,1,1,1,3,5,5,4,4,4,5,5,0,0,1,0,0,0,0,8,4,2,4,5,4,4,5,1,2,4,2,3,3,3,4,3,3,3,3,2,2,2,2,5,5,5,4,4,4,4,4,4,6,5,3,4,5,3,3,1,4,3,3,5,3,4,4,4,4,6,6,1,6,1,5,4,,,,,5,5,0,0,0,0,,,2,,1,6,1,1,6,5,5,5,5,6,6,1,2,3,3,3,5,5,5,1,2,5,3,6,3,6,6,6,3,2,4,6,6,5,4,5,3,3,2,2,1,6,8,1,2,2,2,1,1,5,5,1,-1,0,0,-1,-1,-1,1,1,2,2,0,1,2,2,2,1,2,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,1,4,3,2,2,3,7,1,1
1,1,0,0,2,1,3,4,4,5,4,4,4,5,4,6,2,1,1,0,0,0,0,0,1,1,1,1,4,4,6,4,4,4,6,3,0,1,0,0,0,0,0,4,4,2,4,3,3,4,2,3,2,3,2,3,6,4,4,4,2,1,2,3,1,3,3,3,1,6,3,3,3,3,3,3,3,3,6,3,2,3,2,6,2,3,1,1,2,2,2,2,2,3,1,1,3,1,4,4,2,1,1,2,2,2,1,1,0,1,6,6,6,6,6,6,6,6,6,5,5,5,4,6,6,0,3,3,3,3,,,4,4,4,4,2,5,3,3,1,1,5,2,3,4,4,1,3,9,9,9,8,9,2,7,7,1,1,7,1,9,9,9,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,2,1,5,7,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,0,0,1,1,2,2,2,2,3,12,2,1
